Emotion,Text
anger,I 'm getting vexed . 
fear,"Libel lawyers are nervous of the word "" lie "" because it implies that a person said something which he knew was untrue . "
neutral, So many ? 
joy,During the summer I received grade cards from my TA's. I expected a B no better in Computer Science. I looked at the card - I got an A - I was ecstatic.
fear,"In 1989 he began libel proceedings in the UK against the Singapore government after the Privy Council had expressed "" deep disquiet "" over his treatment by the government [ see p. 37574 ] . "
fear,Edward concealed his dismay . 
neutral, I'm sorry . 
neutral, Fair enough . Give it to me straight . Did she bully you into this ? 
fear,She was agitated ; there were a few tears . 
neutral, We don't . 
sadness,"The awakened will gives rise to fear of God , sorrow for sin , hope for forgiveness and love of God ( Leah 's first four children ) . "
fear,"The note said Imro was concerned there might be ` similar undetected shenanigans "" in other occupational pension schemes . "
fear,"That day I was alone at home after coming home from school.  I did not know where everyone else had gone, I kept waiting for them to come back and nobody came.  It was getting very late and I was terrified."
neutral, Why ? 
joy,"She cackled and slapped her knees , bent double and wheezing with delight at her own witticisms . "
anger, Who knows ! That might come to later . 
joy,From a starving stray it was transformed into a contented house cat . 
neutral, bye ! 
anger,Korean judges cheating.
joy,The elation of witnessing birth may be followed by a sense of disorientation at being a displaced person . 
joy,"Then , having shown the plate to various not very excited colleagues , he resumed his holiday . "
neutral," That's true , but then you have to buy a record player . "
joy, Couldn ’ t be better . And you ? 
fear,"When I dream of anything terrifying I used to have fear for the rest of the day that the dream might come true e.g., being beaten (or eaten ?) by a snake."
anger,My roommate was rude to me.
anger,"When my brothers were being cruel to my boyfriend, because his flat-mate bent back one of my brother's fingers. It wasn't his fault."
sadness," Lily broke up with me last week . In fact , she dumped me . "
anger,"I work for a journal. Once the lay-out came to nothing, due to thoughtlessness of some colleagues."
anger,He got quite angry at the impossibility of Clarissa having given any such instructions . 
sadness, I feel like maybe I am coming down with the flu . 
fear,When the relationship with my first girlfriend broke up and I realized it too late.
neutral, Photograph . 
joy, Congratulations ! What's your normal handicap ? 
joy," To be honest , in order for the earth to continue to be a habitable place , we're all going to have to become more interested in the environment . "
joy,Meeting with two of my friends I had not seen for 15 years. They were special people to me.
fear, I think someone is stalking me . 
neutral, She's ten . 
joy,"When I passed standard 8 exams I jumped, rolled over the ground."
anger,"One night we, all the family members, were sitting in the front corridor of the house when a gentleman looking person came in.  He was my father's client and he had come to bribe my father in connection with the proceeding case.  At my father's refusal he abused my father, my brother and I could not control our temper and we rushed at him."
neutral," Two tickets , please . How much are they ? "
joy, Merry Christmas to you ! 
neutral," Ho , no ! "
anger,My friend misunderstood me.
sadness,Losing a boyfriend for the second time to my friend. He fell in love with her. The same thing happened a few months earlier with another boyfriend.
fear,I felt very frightened when a robber broke into our house and threatened to shoot my father if he did not part with some money.  I was looking at the man with his hand on the trigger.
neutral," Uh , yes . "
joy,"I had a dream : I had a very close friend who had several stone houses in the New Territories (villages) but they did not have much furniture.  He took me to see his fields (I had never seen them before) and there were several inches of clear water on which the sunshine was reflected.  I wanted to sit among the short green plants in the fields but was afraid of treading the plants to death.  My friend said \They will not die\"" and I sat down happily and my trousers did not get wet."""
fear,Walking along with a dog barking at you and following you.
anger,"An incident occurred to me when I was going home with my girlfriend. On the way, a man named Banda grabbed my girlfriend in my presence. I was really angry with him and as a result I threw stones at him and he ran away."
fear, You think it's funny . I'm terrified . 
anger, Yes . I can't find my sweater . I have my laundry sent to you yesterday but when the washing is done . I find my swatter missing . 
joy,Had a letter from my father (usually he does not write to me).
anger," But you have had lily already ? You should have told me about her , but you didn't . "
neutral, Yes . 
anger,"I was annoyed when a person higher up asked me why a particular job was not done, it was not my job to do it.  "
anger,When they put the blame on me when I scored the third goal at the match.
anger,"When I used to go to my chief asking about any doubt about the job and he didn't care, didn't answer me, leaving me speaking alone."
fear,"When I saw an accident, a woman was run over and she died on the spot."
sadness,A dear friend was removed from the division whre I work.
neutral, Good idea . 
neutral, Positive 。 
fear,I am concerned about my seven-year-old son . 
sadness, I am not feeling well
neutral, No joke ! 
anger,When a little brother of mine damaged a cassette.
fear,"When I was ringing up a guy who was my teen idol, and was in Auckland. I was really scared, I didn't know what to say or do."
anger,"Being a spokesman for the union, I got into a quarrel with a colleague who had been acting disloyally over a sustained period of time."
neutral," the ones that are my age are close relatives . Now that I ’ m older , I don ’ t spend as much time with them as I used to , so I don ’ t know my younger cousins as well as the older ones . "
joy,When my brother was selected to the University of Malawi (the Polythecnic). I was very excited and I rejoiced due to one of our family members qualifying for University level at long last.
joy," Yeah , I will be there . "
sadness,My father recently having a heart attack - spending a few months in hospital.
anger, It's my pleasure to talk with you . 
neutral, So what's the problem ? 
joy,"Captain McArthur was a musical comedy aficionado , and not pleased when Mrs Kingswood spoke critically of the form . "
anger,My annoyance at missing the fish turns to relief when I realise I am not snagged in the roots . 
sadness,"I had been separated from my girlfriend for about a year.  On her birthday I put a present in her mailbox.  I had spent two days choosing a suitable present for her.  I waited for a few days and there was no reply from her; at last I received a thank-you card in my mailbox.  On the card there was only my name, the words thank-you  and her signature.  I was very sad then."
joy,When I learned that my parents were going abroad and leaving me alone for a few years.
fear,That was really a nightmare ! 
neutral, My parents . 
sadness,"I arranged with a friend to go skating the next day. He asked me to wake him up by telephone at twelve o'clock because we had come home late in the morning. Next day I called him - he was not at home. As something like that had happened to me several times before, I came to the conclusion that one cannot rely on anybody and I felt very sad."
neutral," Yes , they do . But you can only access all the articles if you have a subscription . "
anger," Oh , SHUT UP ! "
joy,First away game at Parrot Academy today!! wish our V. Boys and Girls luck if you see them in today :) #letsgocanes
fear,Don't let to rob your prayer life of the #power it is supposed to have.  #NoFearHere
joy,"To my mind , it begins so well that it could easily be mistaken for a translation of an eighth-century hermit 's verse , composed in a beehive hut by a contented holy man of Old Ireland . "
sadness,Sometimes I experience sadness for the Sports High School and for my unrealized dreams in the sport. Anyway there I spent six years of my life.
sadness,Since I moved into the dorms and I've been spending most of my free time with my boyfriend. I hardly see my old high school friends. I had several bad incidents with my 2 past best friends.
fear,I have a fobic anxiety for elevators. This anxiety is worst at the moment when the doors have to open. I have it often in the elevator at our university.
joy, Classic . Something that could calm your mind . 
joy,"After going through much shame, I became a Christian and something new happened in my heart.  Joy that overflows was manifest in me."
joy,"On my birthday, when a very close friend sent me a huge bouquet of flowers."
sadness,"` If you don't help me , I shall make you more miserable than you have ever been in your life . "
fear,Watched a horror movie which involved sexual attacks on women.
sadness," Oh , no ! What should I do now ? "
anger,I laughed -- I didn't feel offended . 
sadness,"At a lack of love of my father for my mum, sadness for him more than anyone else because he does not realise how much love and happiness there could be between them, and is, and how much he is damaging himself apart from mum."
fear,"You know that scary realization you are not going to make it until your next paycheck? Yeah, that. Payday is a painful 13 days away. "
anger,"I felt anger at my last exam, I felt angry with our teacher, because he did not rate me objectively and I failed."
fear,"His voice was tetchy , but not alarmed . "
fear,When I go out alone at night.
joy, That ’ s great ! Do you have any plans ? 
neutral,I don't understand why some parents keep beefing and complaining about their daughters not being able to follow suit . 
neutral, Which guy ? 
anger,"When I knew that they would not give me a transfer from one university to another.  I began to insult the educatioon authorities and the government, I ended up at the door."
neutral," Nice to meet you , Lean . My name is Alike . I'm from Japan . "
sadness,When my aunt died.
neutral, I will do . 
neutral, I see . 
joy,"What does stand out is that everyone believes that the profession , its standards and its aims , matter , and they all feel an excitement about the job of acting . "
anger,Tzann clucked his tongue with mild exasperation . 
sadness,"For example , mildly depressed and tired old people used to be given amphetamines . "
fear,I was driving and stopped at a stop light. I was planning to make a right turn as soon as it was clear. It was clear on the left so I started but a man was just in front of the car.
neutral, Laura . 
fear,Reading a horror story alone.
anger, No wonder he asked for my address first-he just wants to harass me ! 
neutral, Bread . 
fear,Heard some ghost-like noise at night.
neutral, Yeah . 
joy,"When I passed my driving test, as it was the fifth time that I had taken this test."
sadness,"After studying a lot for my H.S.C exams, I could not make it to the medical stream and I felt sad about this."
fear,As I was in a ward one man died and I was instructed to watch the last offices. But this was my first time to see a dead person - fear came.
anger,"Rock became aware that the thrilling , magical father , who had taken his young son backstage , on the road , drinking , water-skiiing , was gradually becoming a resentful tyrant . "
fear,Thinking that I had been seen smoking at school by a teacher - waiting to be summoned to the headmaster's office.
neutral," Oh , I see . "
sadness, I had high hopes for NYU . 
neutral," Yes , I agree with you . When I retired I will participate in programs to keep momentally active . "
joy," I recommend you ride a bike instead of commuting by bus . It may offer you many benefits . First , it's good for your health . I'm afraid it's not necessary for me to further elaborate . While lots of people spend time like an hour each morning exercising , a bike ride to work not only builds you up , but also makes full use of time . You might as well sleep out for a longer hour . "
sadness,The second time I went to the entrance exam to V.S.P. and didn't get approved.
sadness,"The mood by this time may be more depressed , as they start to look at their own problems as opposed to those of their partner . "
anger,"Anger I felt when my boyfriend told me he didn't mind breaking it off with me, i.e. each of us to take his own road. Because until that moment, he deliberately restricted our dates. The motives were brought to my knowledge later."
anger,"When I talk to silly, petty-minded and unmanageable people."
neutral, Yes ... 
joy, OK . Then I'll be expecting you . 
fear,I felt it at the same time when I felt disgust.
joy, It's very nice . 
neutral,"Hi , Nicole . Did you have a good weekend ? "
sadness," Very badly , doctor . "
fear,When I broke the window pane of my next door neighbour's house.
fear,I had been drinking with a pal and I later (1 o' clock) had a date  with my fiancee.  We were going to a Spanish lesson and I was afraid that she would smell that I had been drinking.
neutral, Me what ? 
sadness,Found out that my grandmother might have been misdiagnosed as a psychiatric patient because the doctor did not know about neurologism.
neutral, Yeah . 
neutral,I hear that you've been to the Saikei Ski Resort for the weekend . Did you enjoy it ? 
neutral, Thank you . 
neutral, Yes . 
joy,When I was accepted into the medical school.  Medicine is a profession that I have desired ever since my childhood.
neutral, Why ? 
joy,"Cycling in the spring sunshine gives me such delight.  Happiness is to be healthy, my wonderful finance.  Simply being here on earth."
anger,"As in sadness (A), relating to this slaghter of fur-seals."
fear,The Lord will  you from all evil; he will  your Life& Psalm 121:7 God is a  walk no evil for YOU are being #Kept!
fear,"A patient in an anxious state is more likely to bump into , or trip over , objects ; shaking or tense hands are more likely to drop things , spill things and so on . "
joy,"The remaining men were just preparing to leave when suddenly a young man called Laban Tall rushed into the malthouse , almost too excited to speak . "
fear,Fear of the turn that the examination paper would take as I lacked confidence.
sadness,When my sister left home to go and live with her husband.
fear,"To me that puts us in a difficult position when trying Germans , whose crime was obeying their superiors "" orders , whatever our horror at what those orders led to . "" "
anger,A tailor ran away with my skirt.
fear, I suppose . What can they do ? I don't even know who he is . 
anger, I ask you to pass through life at my side-to be my second self and best earthly companion . 
neutral," Oh , I see . "
anger,"My sister and I were fighting as usual. She's older tham I am, bigger built and stronger I couldn't win in a physical battle and in a verbal battle I couldn't seem to get through to her to really hurt her."
sadness,"Moving to an unknown place, away from the familiar surroundings and into a situation of loneliness."
fear,My husband suddenly fell ill seriously and during the medical examinations we did not know what would follow.
fear,"When mother was very ill, I feared that she would die."
fear,Fear of punishment for having broken an item of value to my parents.
sadness,"A close acquaintance of the family died of lung cancer.  Although it was expected, I still felt depressed."
joy, Thanks for reminding me . She's the right person to help me . 
fear,I was afraid when I learnt that my father was seriously ill in hospital.
neutral, What ? 
neutral," Oh , I see . "
anger, I'm tired of your cut-and-dried opinions . Who do you think you are ! 
fear, Now I know that something bad is up ! 
sadness, I am feeling upset
sadness, Shall we keep pur friendship ? 
sadness," Yeah , but that's not why I am upset . I just found out another guy got a promotion . He doesn't know how to do anything . He sits there and kisses the managers butt all day long . "
neutral, Where ? 
fear,When I was coming back home alone at night.
fear,"I feel a certain strange surging thru my soul....., yet it feels so off-limits..wht do I do... Wht. Is there to say? "
fear,"The poor frightened girl packed her things and ran out , saying she was going to Reno for a divorce . "
joy,When I recently got a very positive answer from a clinic telling me that they would willingly assist and collect data for me for a clinical pilot study.
fear,"I wandered by mistake into the safety zone of a shooting range, and was shot at."
fear,"When going out in the weekend I have to bike 5 kilometers through lonely and dark polders, then I always have terrifying fantasies."
fear,Fear of doing well on a midterm.
joy,"When I got home from a pleasant trip abroad, I got to know that I had been accepted at university."
sadness,"My mother left my father for his best friend, and he moved to Papua New Guinea. Despite the fact that I am closer to my father than to anyone else in my family, I had to move in with my mother, and say good-bye to my father, not knowing when I would see him again."
sadness,"When it suddenly appeared that our dog was dangerously ill and probably would die. We had not expected this because he was always very healthy. Fortunately he survived because we, in turn, gave him medicines during the night."
neutral,Hello ! 
sadness,Her grief at his death was deep and sincere . 
neutral, Bye ! 
sadness,"When my grandfather died, with whom I had a very close relationship."
neutral, And it's a brick ? 
joy,When I heard what mark I had got at the entrance examination and I realized my admittance to the University was almost certain.
anger,I ’ m itching for moving ! 
fear,But experts at the Coney Hill Psychiatric Hospital are alarmed . 
anger, It's really very easy saying you're sorry . 
joy," Well , then , may I invite you for the next dance ? "
fear,"At which point , according to my informant , everyone looked absolutely horrified and said : ` Oh no , Prime Minister ! "
anger,I was suddenly infuriated at the thought of what we had believed about the Germans in England . 
neutral, Um ? 
fear,"When I was going home for my holiday, I almost drowned in the Zambezi river."
sadness," Sorry , I'm very near sighted . "
joy, Some time next year . We haven't set the date yet . 
anger,I was peeved to see Robert Kilroy-Silk credited with inventing the egg trick in a recent colour supp. profile . 
sadness,"Feeling desolate , she climbed back into the car , not daring to look at Roman in the silver moonlight . "
anger,I visited a special education school. The headmaster applied a policy of strict positive - negative reinforcement to the children involved. Children who measured up to his standards were made a fuss of - children who didn't were ignored.
fear,When I was walking on a fairly out-of-the-way street.
neutral, Yes . 
fear," in the morning,  in the evening. It's been a good day."
sadness, I'm sorry . I forget all about it . 
anger,"My parents thought that I didn't do my best to pass the final examination (secondary school). When I achieved a good grade they said nothing, but if I had had a bad grade they would have become very angry."
fear,@mcstroup I think my fear of squirrels came from seeing National Lampoons Xmas Vacation as a child...a squirrel attacks a woman in it 
anger,My younger brother and I had been fighting over the TV/Video. He kept on turning it on and off every 2 seconds and was not listening to my authority and was being cheeky. We fought and I ended up in tears - he'd won.
joy,` I was so pleased she lived until just after Sam was born . 
anger,"Gina glared across the table at him , uncomfortably aware that he was the source of her unreasonable impatience , and resentful of the effect his presence was having on her . "
sadness,"I last really felt sad when I left home for I was leaving all my long time, pre-kindergarten relationships behind."
neutral, Why ? 
sadness,"When a friend, after being free of drugs for half a year, started using them again. "
joy,When I qualified for form I.
anger," Yes , but I bet $ 200 dollars on the Cougars ! "
sadness,"When my grandfather died, I saw my grandmother crying against my aunt's shoulder (I had never seen my grandmother cry before)."
fear,is a creative block to our body's natural flow of #instincts and #intuition that are often not cultivated in the Western mind.
fear,"Once, late at night, I was biking home and overtook a man. He said to me \Hello darling\"" I was terrified and imagined the wildest scenes."""
joy, I've never given a speech in front of a thousand people before . 
sadness, I'm sorry . I didn't reconfirm in time and they gave away half of the seats . 
joy, Something like listening to music is a good idea . 
neutral," Oh , no . "
neutral," There is evidence ! You know Edwin Hubble ? He ’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe , thus advancing notions of an expanding universe . What would it be expanding from ? Well , the Big Bang ... DUH ! "
neutral," You have your library card , right ? "
neutral,"Bye , mom ! "
joy," All in all , it will never lose its appeal . "
anger,"I heard friends grumbling at me in an adjoining room, although they had behaved in a friendly way when I was present."
anger,"One day, when I was a child, my grandmother shut me up in a room."
anger,"I am a school teacher.  One of the classes does not obey me at all, keeps on talking, does no work.  One afternoon, everything went wrong, and I got exceedingly angry."
joy,When I passed my form three exams.
neutral," Oh , I see . "
sadness, I am upset
fear,Its funny how we take a day a year to dress up in costumes and celebrate 
sadness,When I lost my grandmother.  She had been my guardian after the death of my father.
sadness," I'm very sorry , sir . I'll ask the manager to take care of this . "
joy,Patrick was not ready yet to share Stevie 's excitement . 
sadness,"We are several friends but our characters are very different and we inevitably split in the two extremes. It is sad that I myself don't know what to do, I try not to hurt either of the \parties\"" because there are conflicts to which one I should belong."""
neutral, Here it is . 
sadness,At a prolonged separation with my family.
neutral, It depends . 
neutral, I ... I ... 
neutral, About what ? 
neutral, & you ? 
joy,"On a boat trip to Denmark, 14 of us had a lot of fun and we spent SEK 10 each on one armed bandits and against all odds we won the jackpot of SEK 1000."
anger,Fruit and vegetable growers in the area are furious about the decision . 
joy, Thanks a lot . 
sadness,When my first boyfriend left me. I tried not to let him understand I felt miserable.
fear,"He is so anxious about being accepted that he is trying to be extra good and even perfect . "" "
neutral, Thanks . 
neutral, I'll try ; it's hard ! 
joy,"After a one year's stay abroad, I returned home. I was even more glad to see how much my family was pleased to see me."
sadness,A disconsolate group of climbers sitting round a kitchen table all lean forward and peer out at the iron-grey clouds rumbling past . 
joy, It's nice to hear that anyway . 
neutral, So ? 
neutral, What for ? 
joy,When I passed the B.A exams with first class results.
neutral, Pardon ? 
neutral, For what ? 
joy," Thanks , I will , byebye ! "
anger,In the 1940s wives were still bitterly resentful of the fact that their husbands did not seem to realise that they needed leisure . 
joy,"On my 18th birthday I passed the driving-test. I was glad because I had had to study very much, because I had been lucky and because - as a proof that it was really difficult - not everybody had passed the test."
neutral, Exactly . 
neutral, Maybe . 
anger,About the car (sadness) I felt anger the way I acted after negotiating it.
joy," Sure , I'll give you a call . "
neutral, Why ? 
fear,I had worries about a certain illness.
sadness,"It is her whole situation -- she is so mournful and silently accusing and sometimes , Robert , I think her as mad as Landor with all this nonsense she makes of the Bible from time to time . "
joy,I felt very happy when I heard I had passed the examination to move up to the second year course.
fear,Waiting for the start of from @OfficialPWG. The return of #SuperDragon will be a great night!
neutral, No problem . 
joy,"When my uncle gave me my first year's results.  I opened the envelope and my eyes ran into two \B+\"" - in EC110 and M160, this meant that I had qualified for a major in economics."""
joy,I remembered that Tansy had said something about a pendant and Topaz being quite excited about it . 
anger,"` Why ? "" sighed Petrova , a little peeved that her deductions were now proving wide of the mark . "
neutral, Thank you . 
neutral," Yes , Jane was quite upset about it . The manager came to apologize and we did get free dessert , but still ... "
anger,I was drawn up a statement for an infringement of the traffic ordinance. In fact I was innocent.
anger,Parkin sighed with exasperation . 
neutral, Which room are you in ? 
neutral, This one ? 
neutral, Good . 
sadness,I had a girlfriend who lived several kilometers away from my home. One day she wrote me that she'd visit me. On her way she had a car accident and was badly injured. I was very sorry to see her lying in a bed in the hospital.
joy,When I won a position on the track-team for the trans-tasman games when I was eleven.
joy,When a person that I like very much got near to me.
fear,Quite a few of my classmates had done their speeches and I was getting really nervous as the day for my turn drew closer and closer . 
neutral, You do ? 
joy,Guy Sterne was having great difficulty in controlling his amusement . 
joy,This week I was phoned by an old friend with whom I lost contact a few years ago.
neutral, I don ’ t think it makes sense . Three minutes is such a short time . 
fear,When two of my children were critically ill with measles.
anger, Quiet everybody ! 
fear,He was concerned that to include the large Asian countries in such a scheme would introduce problems that the small nations could find difficult to resolve . 
sadness,When my aunt passed away in early 1982.
neutral," You're right , Sarah . I was a fool . I can't believe it . How could I fall for such a trick ? "
sadness," I've lost my Traveller's Cheques , all of them . "
fear,"@avilalipsett1 this will be my first Christmas on twitter, looking forward to 2/3 weeks of solid being tweeted&#xA;#BloodSport"
sadness,"When I learnt that I had to repeat the first year, I found the solution immediately but was blocked by many difficulties."
joy, Good . I'm starving . 
fear,"I was jogging in the forest, in the central park area, when I saw a man hiding behind a tree.  I got frigthened, turned around and ran out of the forest."
fear,Being alone at night.
sadness,My son lives in the country. I feel sadness when I see mothers having walks with their children.
neutral, Um . 
neutral, But I don't think it's so nice . 
fear,My grandfather had lung-cancer and was being nursed at home.  I felt fear when I was alone with him and he almost choked on mucus secretions.
sadness,"In the pictures of Belsen , the sheer anguish on the faces of the Tommies contrasts starkly with the indifference of the SS recorded in their cheery souvenir albums . "
neutral, I wish the store close to us was open 24 - house a day . 
sadness, I ’ m not in the mood . 
joy,"The weekend after I argued with my parents I went home again and they couldn't have been nicer. As soon as I walked in, Mum kissed me, then Dad, and thanked me for the birthday presents I'd left for him, including a very sentimental birthday card."
anger,"I was even more infuriated to read that their short separation was a ` tragedy "" . "
sadness,About two years ago my girlfriend suggested that we separate.  This really gave me a shock as I had never thought that she would say such things.  The reason she gave me was that we were not suited for each other.
sadness, I doubt if I can pass it . 
fear,"After having watched a crime show on the TV, I was about to take the dog for a walk. Then, suddenly, there was a man on the porch... (We live some distance away from other people)."
fear,The fear of the  is the beginning of wisdom...doing His will connotes His 
sadness,"When my car froze, and I could not start it."
joy,"When the bank let me borrow some money this winter, after my grant was spent."
fear,When I was a child I hid under the sheets out of fear of darkness.
fear,"Climbing a mountain where the rocks were very loose. When we realized the danger, we were very high up, but still had a long climb ahead."
anger,A classmate damaged ma iron and tried to hide the damage.
fear,"One evening I saw the old guard-man I knew, change into something inhuman for about 5-10 seconds, this really frightened me."
neutral, Yes . 
anger,"To Erika 's intense annoyance , Fritz promptly accepted the invitation -- obeyed the command , rather -- and as Rosa moved on to the floor with another boy , she was left feeling abandoned -- and foolish . "
anger,My boyfriend told me that I had very high demands towards him. In my opinion this was wrong.
fear," I didn't do anything . Finally , he left.But then I saw him again today . Outside the shoe store . Near the cafe . I went into a CD store and pretended I was looking at CD's . But then he came in too . "
fear,I have done the teachers training course (B.Ed).  During our training I was asked to handle the ninth standard class in a boys school.  I was scared to face the class the first day.
neutral, Not really . 
fear,Meera was a little nervous about having her hair coloured so Chris used the non-permanent Colour Touch . 
fear,Before a hospital visit prior to a D&C under anasthesia for an expected miscarriage.
anger,"About a month ago the Regional Council refused to pay my wife the due maternity benefit, because of bureaucratic reasons."
anger,I wrote an Exam and happened to have not done as well as I thought I would. I was angry to myself for not having done so well.
neutral, Again ! 
anger,When my rights to use a shared house had been usurped by co-owners out of pure selfishness.
neutral, Yes . 
sadness,"Heartbroken Tim Godwin weeps as he tells how he had to tell his 23-month-old daughter Sophie : ` Mummy isn't coming back "" . "
neutral, Thanks ! 
joy,"Receiving a postcard form my sweetheart who was abroad on vacation, not being at all sure if he would write me or not."
sadness,"Her voice shook , her face was white with anguish . "
joy,Lexie 's parents are pleased that their efforts may prevent other children dying from the side effects of steroid treatment . 
fear,I was very scared at the time of the Ty.B.Sc examination as I had decided to get 1st class results.  I was afraid thinking of how the papers would be.
anger,I was angry when my abilities of a singer were underestimated.
fear,"Genghis Khan, Adolf Hitler, Benito Mussolini, Napoleon Bonaparte and LaToya Jackson all share a common of cats."
sadness,"` Forgive me , Miss Kyte , "" said the other lady softly , ` but you look quite downcast . "" "
neutral, See you . 
fear,I am so worried about this English contest . I have butterflies in my stomach now ! 
fear,I was a bit frightened when it was found that there was something wrong with my liver. However it turned out that it was not serious and I need not worry.
anger,Hey . Why did you take that money ? You are such a cheater ! I should send you to jail ! 
anger,Some noisy guests arrived at the hotel.  I had been slightly irritated earlier.  At night when I was trying to sleep they were having a party so I went and yelled at them.  I wanted to sleep as I had to get up early the next day.
sadness,"Despite moments of despondency , de Gaulle himself certainly did not give up hope . "
neutral," No , why ? "
fear, I pressed the emergency button ! And then I stayed in the elevator waiting for the rescue . 
anger,The time when someone let the air out of the tyres of my cycle.
neutral, I am sorry . 
joy,The King was bluntly informing him that he was ill pleased at the lack of progress Corbett was making . 
sadness,"My father suddenly fell ill. He stayed for 3 months in the hospital: the last month on intensive care of the Academic Hospital, then he died."
sadness, I ’ m fine . But I have bad news . 
joy," Thank you so much , Lisa ! "
neutral, What ? 
joy,"To her delight he even took to discussing his work with her , and Leonora listened , rapt , utterly fascinated by glimpses of the other , professional Penry Vaughan she secretly found so impressive . "
fear,"One day, when I realized that I was alone, I felt fear of loneliness."
sadness,"During an informal talk with a friend when we talk about the life of another person, a common friend, that is in a situation of not being able to assume certain problems that he decided to solve, that is, she herself suggested the problems and decided to solve them but didn't get it until the moment."
neutral, You are right . Our company ’ s Christmas party has always been an amazing occasion for everybody to relax and get to know each other better . It is also a time to make new friends and do some networking . 
anger,When I was accused of having refused to do some hostel work while I was at school.  Actually I had not been allocated any work.
fear,just texted a higher-ranking officer than I and asked if it would be okay for me to replace him...   
anger,THE Banishing Gripes campaign highlighted the public 's annoyance with British Gas for the inconvenience caused by digging up roads . 
anger,"When my girlfriend left me to go out with another guy, even though she knew that she was wrong."
neutral,Hello 
neutral, I do . 
sadness,"His heartbroken mum , Colette , said : ` Paul is so upset . "
sadness, It sounds too bad . What will you do ? 
sadness,"Jessica felt more than flustered , she felt devastated . "
neutral, She ’ s 18 . 
sadness,"Last academic year I received bad news - my grand-uncle had passed away.  I felt lonely and bad because apart from the         biological ties, he was a good old friend of mine at home."
anger, You can't prick the fish to please the sick tastes of some bloody people . 
sadness,When I heard that my father had passed away.
joy,"During the exam period I studied in the library alone.  A close   friend of mine, who is also a classmate, told me that my application for a Japanese inter-cultural exchange programme had been accepted.  I was not very sure as I did not know that the list had been declared.  I ran to the board and saw that I was really included in the list.  I was so excited that I smiled all day long.  When I met my classmates and friends I told them the good news.  I was so happy that I could not concentrate on my studies. "
fear," I don ’ t feel sick , ... let me check ... Nope ! No fever , I ’ m fine . "
neutral, Walk ? 
fear,"On a mountain tour, my girlfriend and I passed by an inn. Near the house there was a big dog which began to follow us. As my girlfriend is afraid of dogs, I had to draw his attention to me. He jumped towards my shoulders and wanted to play with me but I really did not like that."
sadness,"There must be another reason why you are so sad , "" he said , looking kindly at me . "
fear,Fearing the use of power or reprimands when I belong to the minority.
joy,When I was at the end-of-term party last week and had fun - was happy and sang and drank only soft drinks.  It is possible to have a good time without alcohol.
anger,When colliding with my car. I myself was to blame.
neutral, Fine . 
sadness,"My friend got married and went abroad, this made me feel sad and lonely."
neutral, So what ? 
neutral, For What ? 
anger,Mitchum was furious when he heard that . 
anger, Forget it ! It was a bitter pill for me to swallow . 
sadness,Thinking about friends overseas.
neutral, I hope so . 
joy,"` Right now I 'm feeling very excited . "" "
sadness, I am very upset
anger,When my chief accused me of an error that I hadn't made.
neutral, Room 103 . 
fear,The passengers looked horrified . 
neutral, OK . 
fear,When I thought that I had failed the examination.
neutral, It's C261 . 
joy,"Instead , I made my way back along the sand , watching some evidently exhilarated surfers . "
joy,I had gone camping with my old classmates and there was a storm.  We were in a flurry but at that time I felt the love and concern of my friends.
anger,Overhear people talking about me and saying that I am stupid.
joy,I most joyous moment was the day I got my marks.  I was very happy when I came to know about my marks at the M.Sc (part I) examination where I got 71.5%.  This was the highest marks I have ever scored in my life.
neutral, Possibly . 
neutral, OK . 
joy,"Afterwards , Mr Booth showed his delight by distributing chocolate bars to auction room patrons . "
joy,I was working late on one of these bad nights when an excited Dr Laurent rushed into my office . 
sadness, But I always feel disappointed . I have many problems with English learning . 
fear,@RyanSchellShock They'll? Jeez I thought I was only being sent one I'm either the luckiest or unluckiest guy ever 
sadness,I felt sadness when my grandfather died.
fear,"Equally inevitably , there was outrage and dismay in India . "
neutral," Ok , spit . "
neutral, Yes . 
neutral," No , what ? "
fear," Oh no ! A bear ! Run , Tiger , run ! Somebody call animal control ! "
sadness,"I'm leaving now , mum . "
joy,When my wife gave birth to a baby boy - my only son to date.
joy, We're happy together now . We both think that we're a well-matched couple . 
anger,When I was in F4 I played a basket-ball match against another school's team.  One of their team members kicked a team-mate of mine so I kicked him back and we had a fight with each other.
sadness," I'm sorry , but we don't allow returns on sale items . "
joy,"After I had made my debut at Ullevi against IFK, Gottenburg and got a good write up in the paper."
fear,Stopped at lights in Mangere late one Friday night on way home from work. Alone in car when someone came up behind the car and started banging and shaking it. Light was red and had nowhere to go until light changed. When green I took off.
neutral,It seems that you get antsy when you hear I praise another guy . 
neutral, Not only that ! 
anger,"In a tram, the ticket seller was commanding, taking the role of a leader, trying to emphasize her non-existent authority with undue strictness towards a good-humoured drunk who could not find his ticket at once."
joy,"I had been working for more than an hour and my wrists ached from the continuous chopping , but I was filled with an immense exhilaration . "
anger, I want justice . 
anger,"` Then you can do so today -- at the barbecue , "" Lucy hissed , suddenly infuriated with them both , although more so with Silas than with Doreen . "
anger,I can't remember being truly angry. Usually it's just disappointment that I feel. One situation would be with my brother. He and I used to be close but now he seems to be avoiding me.
